Period: Step1, Chains depth: 6, Method: MMPA
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
0.0000e+00	1.2357e-06	6.7966e-01	4.6632e+03	1.5024e+14	5.9176e-08	5.6539e-08	5.3423e-10	2.1025e-09
3.6000e+03	5.9190e+04	6.6735e+06	4.6620e+03	1.5021e+14	2.3922e+02	1.7501e-01	1.2452e+02	1.1452e+02
Nulicdes at time = 3.600e+03 sec. ---------------------------------------------------
Name	Atoms	Activity(Bq)	Mass(g)	DoseInh(Sv)
Rb-97	1.4055e+10	5.7611e+10	2.2624e-12	0.0000e+00
Rb-98	2.7233e+02	1.6558e+03	4.4291e-20	0.0000e+00
Sr-86	4.2785e+03	0.0000e+00	6.1035e-19	0.0000e+00
Sr-87	1.7357e+00	0.0000e+00	2.5050e-22	0.0000e+00
Sr-88	1.0877e+15	0.0000e+00	1.5878e-07	0.0000e+00
Sr-89	1.5261e+16	2.4229e+09	2.2530e-06	1.9141e+01
Sr-90	2.8695e+16	2.1892e+07	4.2840e-06	3.5027e+00
Sr-91	3.0157e+16	6.0296e+11	4.5525e-06	2.4721e+02
Sr-92	2.8624e+16	2.0337e+12	4.3686e-06	4.6774e+02
Sr-93	6.0593e+15	9.4300e+12	9.3487e-07	4.6207e+02
Sr-94	9.9805e+14	9.1872e+12	1.5565e-07	5.4204e+01
Sr-95	2.7483e+14	7.9707e+12	4.3319e-08	2.3912e+01
Sr-96	8.7167e+12	5.6467e+12	1.3884e-09	1.2987e+00
Sr-97	1.6418e+12	2.6527e+12	2.6424e-10	0.0000e+00
Sr-98	1.1539e+12	1.2249e+12	1.8765e-10	0.0000e+00
Sr-99	7.8722e+10	2.0210e+11	1.2933e-11	0.0000e+00
Sr-100	4.8745e+07	1.6727e+08	8.0891e-15	0.0000e+00
Y-88	2.5309e+05	1.9043e-02	3.6945e-17	8.3787e-11
Y-89	3.1957e+12	0.0000e+00	4.7178e-10	0.0000e+00
Y-90	3.6268e+10	1.0911e+05	5.4146e-12	1.6367e-04
Y-90m	5.5231e+02	3.3336e-02	8.2457e-20	3.3336e-12
