Period: P_1, Chains depth: 8, Method: BDF
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 0.000e+00 2.039e-05 6.797e+00 4.664e+04 1.503e+15 5.918e-07 5.654e-07 5.342e-09 2.103e-08
 3.600e+03 3.600e+03 8.348e+05 6.675e+07 4.663e+04 1.502e+15 2.420e+03 1.750e+00 1.256e+03 1.162e+03

Nulicdes at time = 3.600e+03 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  390960     Y-96    4.613e+14    5.988e+13    7.348e-08    5.988e+03
  390961    Y-96m    4.250e+14    3.068e+13    6.768e-08    1.074e+04
  390970     Y-97    2.513e+14    4.645e+13    4.045e-08    4.645e+03
  390971    Y-97m    4.690e+13    2.779e+13    7.548e-09    9.725e+02
  390972   Y-97m2    2.615e+00    1.276e+01    4.208e-22    8.424e-11
  390980     Y-98    2.296e+13    2.904e+13    3.733e-09    8.421e+02
  390981    Y-98m    4.852e+13    1.682e+13    7.890e-09    1.850e+03
  390990     Y-99    6.701e+13    3.160e+13    1.101e-08    0.000e+00
  391000    Y-100    9.141e+12    8.621e+12    1.517e-09    0.000e+00
  391001   Y-100m    9.768e+12    7.203e+12    1.621e-09    0.000e+00
  391010    Y-101    2.735e+12    4.213e+12    4.584e-10    0.000e+00
  391020    Y-102    2.103e+12    4.048e+12    3.559e-10    0.000e+00
  400890    Zr-89    5.432e+01    1.334e-04    8.019e-21    7.336e-14
  400891   Zr-89m    2.460e+00    6.831e-03    3.632e-22    2.869e-14
  400900    Zr-90    1.219e+09    0.000e+00    1.819e-13    0.000e+00
  400901   Zr-90m    7.817e+01    6.696e+01    1.167e-20    2.812e-12
  400910    Zr-91    8.928e+11    0.000e+00    1.348e-10    0.000e+00
  400920    Zr-92    2.772e+15    0.000e+00    4.230e-07    0.000e+00
  400930    Zr-93    8.209e+15    1.178e+02    1.266e-06    2.946e-06
  400940    Zr-94    2.021e+17    0.000e+00    3.152e-05    0.000e+00
  400950    Zr-95    2.673e+17    3.348e+10    4.212e-05    1.976e+02
  400960    Zr-96    3.437e+17    3.775e-10    5.474e-05    1.170e-17
  400970    Zr-97    3.222e+17    3.704e+12    5.186e-05    3.408e+03
  400980    Zr-98    3.755e+15    8.478e+13    6.105e-07    1.865e+02
  400990    Zr-99    2.591e+14    8.553e+13    4.256e-08    1.882e+01
  401000   Zr-100    9.345e+14    9.123e+13    1.550e-07    0.000e+00
  401010   Zr-101    1.546e+14    4.660e+13    2.591e-08    0.000e+00
  401020   Zr-102    1.291e+14    3.085e+13    2.184e-08    0.000e+00
  401030   Zr-103    1.419e+13    7.565e+12    2.425e-09    0.000e+00
  401040   Zr-104    5.463e+05    3.155e+05    9.428e-17    0.000e+00
  410930    Nb-93    3.143e+03    0.000e+00    4.848e-19    0.000e+00
  410931   Nb-93m    1.221e+05    1.663e-04    1.884e-17    2.993e-13
  410940    Nb-94    6.105e+06    6.605e-06    9.519e-16    3.236e-13
  410941   Nb-94m    1.180e+06    2.177e+03    1.841e-16    6.967e-08
  410950    Nb-95    4.910e+13    1.126e+07    7.738e-09    2.026e-02
  410951   Nb-95m    5.351e+11    1.189e+06    8.433e-11    1.046e-03
  410960    Nb-96    3.714e+07    3.063e+02    5.915e-15    2.021e-07
  410970    Nb-97    5.860e+15    9.389e+11    9.429e-07    4.225e+01
  410971   Nb-97m    2.913e+14    3.440e+12    4.687e-08    2.442e+02
  410980    Nb-98    3.571e+14    8.655e+13    5.806e-08    1.039e+03
  410981   Nb-98m    1.442e+15    3.248e+11    2.345e-07    1.884e+01
  410990    Nb-99    1.208e+15    5.584e+13    1.985e-07    2.904e+03
  410991   Nb-99m    8.023e+15    3.707e+13    1.318e-06    2.447e+04
  411000   Nb-100    2.079e+14    9.609e+13    3.450e-08    8.360e+02
  411001  Nb-100m    2.097e+13    4.862e+12    3.479e-09    1.070e+02
  411010   Nb-101    7.751e+14    7.567e+13    1.299e-07    3.708e+03
  411020   Nb-102    2.658e+14    4.285e+13    4.499e-08    7.284e+02
  411021  Nb-102m    2.251e+13    1.200e+13    3.809e-09    6.360e+02
  411030   Nb-103    6.277e+13    2.901e+13    1.073e-08    4.641e+02
  411040   Nb-104    3.071e+13    4.344e+12    5.299e-09    2.476e+02
  411041  Nb-104m    5.890e+12    4.344e+12    1.016e-09    4.778e+01
  411050   Nb-105    9.054e+12    2.127e+12    1.577e-09    0.000e+00
  411060   Nb-106    7.040e+05    5.247e+05    1.238e-16    0.000e+00
  420940    Mo-94    1.119e+04    0.000e+00    1.745e-18    0.000e+00
  420950    Mo-95    1.161e+10    0.000e+00    1.829e-12    0.000e+00
  420960    Mo-96    1.637e+08    0.000e+00    2.607e-14    0.000e+00
  420970    Mo-97    1.215e+15    0.000e+00    1.955e-07    0.000e+00
