Period: P_2, Chains depth: 8, Method: DIAG
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 3.600e+03 8.348e+05 6.675e+07 0.000e+00 0.000e+00 2.420e+03 1.750e+00 1.256e+03 1.162e+03
 1.000e+03 4.600e+03 1.589e+05 7.798e+06 0.000e+00 0.000e+00 3.264e+02 6.749e-07 1.413e+02 1.851e+02
 1.000e+04 1.460e+04 1.978e+04 1.574e+06 0.000e+00 0.000e+00 3.783e+01 5.662e-07 1.568e+01 2.215e+01
 1.000e+05 1.146e+05 1.133e+03 3.327e+05 0.000e+00 0.000e+00 2.132e+00 5.663e-07 9.217e-01 1.211e+00

Nulicdes at time = 1.146e+05 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  511230   Sb-123    3.487e+04    0.000e+00    7.117e-18    0.000e+00
  511240   Sb-124    2.696e+05    3.593e-02    5.547e-17    3.090e-10
  511250   Sb-125    1.720e+12    1.369e+04    3.567e-10    1.643e-04
  511260   Sb-126    5.994e+07    3.893e+01    1.253e-14    1.246e-07
  511261  Sb-126m    4.160e+05    2.510e+02    8.697e-17    5.019e-09
  511262 Sb-126m2    2.668e+03    1.681e+02    5.578e-19    3.194e-11
  511270   Sb-127    4.054e+15    8.448e+09    8.543e-07    1.605e+01
  511280   Sb-128    6.202e+13    1.325e+09    1.317e-08    5.566e-01
  511281  Sb-128m    9.578e+05    1.064e+03    2.034e-16    1.596e-08
  511290   Sb-129    1.976e+14    8.646e+09    4.229e-08    2.162e+00
  511300   Sb-130    1.903e+02    5.564e-02    4.104e-20    2.949e-12
  521240   Te-124    5.454e+04    0.000e+00    1.122e-17    0.000e+00
  521250   Te-125    1.171e+09    0.000e+00    2.428e-13    0.000e+00
  521251  Te-125m    3.480e+08    4.864e+01    7.218e-14    2.043e-07
  521260   Te-126    1.369e+08    0.000e+00    2.863e-14    0.000e+00
  521270   Te-127    3.221e+14    6.633e+09    6.788e-08    9.286e-01
  521271  Te-127m    1.574e+14    1.159e+07    3.317e-08    1.135e-01
  521280   Te-128    1.665e+16    4.156e-11    3.536e-06    1.621e-16
  521290   Te-129    6.510e+13    1.080e+10    1.393e-08    4.214e-01
  521291  Te-129m    5.607e+15    1.339e+09    1.200e-06    1.058e+01
  521300   Te-130    9.081e+16    0.000e+00    1.959e-05    0.000e+00
  521310   Te-131    3.711e+13    1.715e+10    8.066e-09    4.801e-01
  521311  Te-131m    1.129e+16    6.538e+10    2.454e-06    6.145e+01
  521320   Te-132    1.769e+17    4.430e+11    3.875e-05    8.859e+02
  521330   Te-133    5.595e+05    5.171e+02    1.235e-16    1.034e-08
  521331  Te-133m    1.164e+07    2.427e+03    2.568e-15    2.111e-07
  521340   Te-134    1.144e+04    3.162e+00    2.544e-18    2.150e-10
  531260    I-126    3.676e+03    2.281e-03    7.684e-19    2.235e-11
  531270    I-127    4.794e+14    0.000e+00    1.010e-07    0.000e+00
  531290    I-129    2.287e+16    3.199e+01    4.895e-06    1.152e-06
  531300    I-130    1.090e+09    1.697e+04    2.350e-13    1.137e-05
  531310    I-131    1.309e+17    1.309e+11    2.846e-05    9.686e+02
  531320    I-132    5.442e+15    4.565e+11    1.192e-06    5.022e+01
  531321   I-132m    1.364e+07    1.894e+03    2.988e-15    1.647e-07
  531330    I-133    1.329e+17    1.230e+12    2.932e-05    1.845e+03
  531331   I-133m    3.156e+03    2.430e+02    6.965e-19    9.236e-10
  531340    I-134    3.255e+07    7.163e+03    7.238e-15    3.940e-07
  531350    I-135    1.259e+16    3.689e+11    2.820e-06    1.180e+02
  541260   Xe-126    1.247e+02    0.000e+00    2.606e-20    0.000e+00
  541280   Xe-128    2.484e+07    0.000e+00    5.275e-15    0.000e+00
  541290   Xe-129    2.702e+06    0.000e+00    5.784e-16    0.000e+00
  541291  Xe-129m    1.279e+01    1.155e-05    2.737e-21    1.155e-11
  541300   Xe-130    5.369e+09    0.000e+00    1.158e-12    0.000e+00
  541310   Xe-131    1.438e+16    0.000e+00    3.125e-06    0.000e+00
  541311  Xe-131m    1.519e+14    1.029e+08    3.302e-08    9.983e+01
  541320   Xe-132    5.235e+16    0.000e+00    1.147e-05    0.000e+00
  541330   Xe-133    2.073e+17    3.172e+11    4.575e-05    1.491e+05
  541331  Xe-133m    5.293e+15    1.939e+10    1.168e-06    8.725e+03
  541340   Xe-134    4.297e+17    0.000e+00    9.554e-05    0.000e+00
  541350   Xe-135    6.946e+16    1.463e+12    1.556e-05    1.610e+05
  541351  Xe-135m    8.386e+13    6.336e+10    1.879e-08    3.611e+02
  541360   Xe-136    3.514e+17    0.000e+00    7.930e-05    0.000e+00
  551320   Cs-132    3.019e+05    3.738e-01    6.613e-17    1.121e-10
  551330   Cs-133    2.104e+16    0.000e+00    4.643e-06    0.000e+00
  551340   Cs-134    1.170e+08    1.244e+00    2.602e-14    2.489e-08
  551341  Cs-134m    1.772e+04    1.172e+00    3.940e-18    7.030e-11
  551350   Cs-135    2.677e+17    2.557e+03    5.997e-05    2.199e-05
  551360   Cs-136    2.314e+13    1.410e+07    5.221e-09    3.949e-02
  551370   Cs-137    3.349e+17    2.445e+08    7.613e-05    9.537e+00
  551380   Cs-138    7.583e+00    2.622e-03    1.737e-21    1.128e-13
  561320   Ba-132    8.367e+02    0.000e+00    1.833e-19    0.000e+00
  561340   Ba-134    1.346e+05    0.000e+00    2.993e-17    0.000e+00
  561350   Ba-135    1.471e+08    0.000e+00    3.296e-14    0.000e+00
  561351  Ba-135m    2.120e+03    1.423e-02    4.750e-19    5.121e-12
