Period: Step2, Chains depth: 6, Method: DIAG
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
Mo-98	3.1366e+16	0.0000e+00	5.0993e-06	0.0000e+00
Mo-99	2.3861e+16	6.9634e+10	3.9189e-06	6.8938e+01
Mo-100	3.6741e+16	1.1055e-10	6.0954e-06	2.4321e-18
Tc-98	2.8731e+07	1.5025e-07	4.6710e-15	6.7614e-15
Tc-99	7.2698e+15	7.5641e+02	1.1940e-06	9.8333e-06
Tc-99m	2.0216e+15	6.4803e+10	3.3203e-07	1.2961e+00
Ru-99	3.7516e+07	0.0000e+00	6.1615e-15	0.0000e+00
Ru-100	2.2253e+09	0.0000e+00	3.6916e-13	0.0000e+00
Ru-101	2.8260e+16	0.0000e+00	4.7352e-06	0.0000e+00
Ru-102	2.3302e+16	0.0000e+00	3.9430e-06	0.0000e+00
Ru-103	1.6186e+16	3.3085e+09	2.7658e-06	9.9255e+00
Ru-104	9.3072e+15	0.0000e+00	1.6058e-06	0.0000e+00
Ru-105	3.4243e+13	1.4849e+09	5.9652e-09	2.6729e-01
Ru-106	2.1279e+15	4.5915e+07	3.7422e-07	3.0304e+00
Rh-103	3.6105e+14	0.0000e+00	6.1695e-08	0.0000e+00
Rh-103m	1.5898e+13	3.2729e+09	2.7166e-09	8.8369e-03
Rh-105	2.7036e+15	1.4722e+10	4.7097e-07	5.1526e+00
Rh-105m	2.4350e+10	4.2195e+08	4.2417e-12	1.0549e-04
Rh-106	1.9919e+09	4.5915e+07	3.5029e-13	5.9689e-05
Rh-106m	6.0455e+06	5.3313e+02	1.0632e-15	5.8645e-08
Pd-103	1.2129e+00	5.7268e-07	2.0726e-22	2.5771e-16
Pd-104	1.5321e+07	0.0000e+00	2.6434e-15	0.0000e+00
Pd-105	1.6772e+15	0.0000e+00	2.9217e-07	0.0000e+00
Pd-106	5.4333e+12	0.0000e+00	9.5548e-10	0.0000e+00
Pd-107	8.0985e+14	2.7366e+00	1.4376e-07	1.6146e-09
Pd-108	3.1511e+14	0.0000e+00	5.6460e-08	0.0000e+00
Pd-109	1.7756e+13	2.4952e+08	3.2111e-09	9.2324e-02
Pd-110	3.2281e+11	0.0000e+00	5.8913e-11	0.0000e+00
Pd-111	2.3764e+00	1.1732e-03	4.3765e-22	1.1028e-13
Pd-111m	4.2653e+01	1.4932e-03	7.8553e-21	7.1672e-13
Ag-107	3.0257e+05	0.0000e+00	5.3712e-17	0.0000e+00
Ag-109	6.8636e+13	0.0000e+00	1.2412e-08	0.0000e+00
Ag-109m	1.4260e+10	2.4960e+08	2.5788e-12	1.2730e-05
Ag-111	1.9896e+04	2.1425e-02	3.6641e-18	3.6423e-11
Ag-113	7.3244e+01	2.6262e-03	1.3732e-20	6.5654e-13
Cd-113	6.0429e+03	1.6509e-20	1.1329e-18	1.9810e-27
Cd-113m	6.9145e+01	1.0771e-07	1.2964e-20	1.1848e-14
Cd-114	4.5997e+00	0.0000e+00	8.7000e-22	0.0000e+00
Cd-115	4.4851e+03	1.6153e-02	8.5577e-19	1.7769e-11
Cd-115m	3.9991e+02	7.1999e-05	7.6305e-20	5.5439e-13
Cd-116	2.7903e+11	1.9770e-16	5.3703e-11	2.9655e-23
Cd-117m	2.4967e+00	1.4307e-04	4.8468e-22	3.0045e-14
In-115	1.7039e+03	8.4863e-20	3.2510e-19	3.3096e-26
In-115m	4.0547e+02	1.7403e-02	7.7364e-20	1.0268e-12
In-117	1.0677e+00	2.8552e-04	2.0727e-22	8.2802e-15
In-117m	1.5439e+00	1.5350e-04	2.9971e-22	1.1052e-14
Sn-115	8.9254e+01	0.0000e+00	1.7030e-20	0.0000e+00
Sn-117	4.5561e+03	0.0000e+00	8.8444e-19	0.0000e+00
Sn-120	8.7450e+03	0.0000e+00	1.7412e-18	0.0000e+00
Sn-123	1.1784e+02	7.3169e-06	2.4049e-20	5.9267e-14
Sn-124	1.5164e+06	0.0000e+00	3.1199e-16	0.0000e+00
Sn-125	3.3086e+10	2.7535e+04	6.8626e-12	8.5359e-05
Sn-126	2.6274e+14	2.5091e+01	5.4932e-08	7.0255e-07
Sn-127	1.6042e+10	1.4708e+06	3.3807e-12	1.9121e-04
Sn-128	4.4816e+05	8.7648e+01	9.5190e-17	8.0636e-09
Sb-123	3.5521e+03	0.0000e+00	7.2493e-19	0.0000e+00
Sb-125	1.6121e+11	1.2836e+03	3.3436e-11	1.5403e-05
Sb-126	4.0689e+05	2.6431e-01	8.5070e-17	8.4581e-10
Sb-126m	4.1592e+04	2.5091e+01	8.6959e-18	5.0182e-10
Sb-126m2	2.6677e+02	1.6810e+01	5.5774e-20	3.1939e-12
Sb-127	4.0524e+14	8.4444e+08	8.5398e-08	1.6044e+00
Sb-128	6.2004e+12	1.3250e+08	1.3170e-09	5.5651e-02
Sb-128m	9.5765e+04	1.0638e+02	2.0340e-17	1.5957e-09
Sb-129	1.9754e+13	8.6443e+08	4.2286e-09	2.1611e-01
Sb-130	1.9022e+01	5.5634e-03	4.1036e-21	2.9486e-13
Te-125	1.0975e+08	0.0000e+00	2.2763e-14	0.0000e+00
Te-125m	3.2621e+07	4.5593e+00	6.7659e-15	1.9149e-08
Te-126	2.6431e+06	0.0000e+00	5.5258e-16	0.0000e+00
Te-127	3.2198e+13	6.6304e+08	6.7852e-09	9.2826e-02
Te-127m	1.5736e+13	1.1582e+06	3.3161e-09	1.1350e-02
Te-128	1.6647e+15	4.1549e-12	3.5356e-07	1.6204e-17
Te-129	6.5082e+12	1.0803e+09	1.3931e-09	4.2130e-02
Te-129m	5.6060e+14	1.3385e+08	1.2000e-07	1.0574e+00
Te-130	9.0798e+15	0.0000e+00	1.9586e-06	0.0000e+00
Te-131	3.7103e+12	1.7145e+09	8.0654e-10	4.8007e-02
Te-131m	1.1288e+15	6.5368e+09	2.4539e-07	6.1446e+00
Te-132	1.7688e+16	4.4289e+10	3.8743e-06	8.8577e+01
Te-133	5.5946e+04	5.1705e+01	1.2347e-17	1.0341e-09
Te-133m	1.1637e+06	2.4266e+02	2.5683e-16	2.1111e-08
Te-134	1.1439e+03	3.1614e-01	2.5436e-19	2.1498e-11
I-126	3.6670e+02	2.2752e-04	7.6666e-20	2.2297e-12
I-127	4.7925e+13	0.0000e+00	1.0099e-08	0.0000e+00
I-129	2.2863e+15	3.1986e+00	4.8940e-07	1.1515e-07
I-130	1.1479e+07	1.7882e+02	2.4763e-15	1.1981e-07
I-131	1.3091e+16	1.3087e+10	2.8456e-06	9.6841e+01
I-132	5.4409e+14	4.5647e+10	1.1918e-07	5.0211e+00
I-132m	1.3638e+06	1.8932e+02	2.9873e-16	1.6471e-08
I-133	1.3284e+16	1.2297e+11	2.9319e-06	1.8446e+02
I-133m	3.1555e+02	2.4302e+01	6.9641e-20	9.2349e-11
I-134	3.2548e+06	7.1621e+02	7.2374e-16	3.9391e-08
I-135	1.2575e+15	3.6854e+10	2.8172e-07	1.1793e+01
Xe-126	1.2437e+01	0.0000e+00	2.6002e-21	0.0000e+00
Xe-128	2.4803e+06	0.0000e+00	5.2678e-16	0.0000e+00
Xe-129	2.7015e+05	0.0000e+00	5.7826e-17	0.0000e+00
Xe-130	6.0693e+07	0.0000e+00	1.3092e-14	0.0000e+00
Xe-131	1.4374e+15	0.0000e+00	3.1245e-07	0.0000e+00
Xe-131m	1.5187e+13	1.0291e+07	3.3013e-09	9.9819e+00
Xe-132	5.2346e+15	0.0000e+00	1.1466e-06	0.0000e+00
Xe-133	2.0727e+16	3.1716e+10	4.5744e-06	1.4906e+04
Xe-133m	5.2921e+14	1.9387e+09	1.1680e-07	8.7239e+02
Xe-134	4.2964e+16	0.0000e+00	9.5533e-06	0.0000e+00
Xe-135	6.9392e+15	1.4618e+11	1.5545e-06	1.6080e+04
Xe-135m	8.3775e+12	6.3296e+09	1.8767e-09	3.6079e+01
Xe-136	3.5133e+16	0.0000e+00	7.9287e-06	0.0000e+00
Cs-132	3.0156e+04	3.7335e-02	6.6053e-18	1.1200e-11
Cs-133	2.1035e+15	0.0000e+00	4.6424e-07	0.0000e+00
Cs-134	7.1439e+05	7.5980e-03	1.5885e-16	1.5196e-10
Cs-134m	4.1763e+01	2.7613e-03	9.2862e-21	1.6568e-13
Cs-135	2.6727e+16	2.5524e+02	5.9873e-06	2.1950e-06
Cs-136	2.3066e+12	1.4062e+06	5.2056e-10	3.9372e-03
Cs-137	3.3485e+16	2.4451e+07	7.6125e-06	9.5359e-01
Ba-132	8.3574e+01	0.0000e+00	1.8306e-20	0.0000e+00
Ba-134	8.3791e+02	0.0000e+00	1.8631e-19	0.0000e+00
Ba-135	1.4683e+07	0.0000e+00	3.2892e-15	0.0000e+00
Ba-136	1.6420e+11	0.0000e+00	3.7055e-11	0.0000e+00
Ba-136m	6.9285e+04	1.5572e+05	1.5636e-17	1.1679e-05
Ba-137	2.7447e+12	0.0000e+00	6.2397e-10	0.0000e+00
Ba-137m	5.1150e+09	2.3155e+07	1.1628e-12	2.7786e-01
Ba-138	3.6918e+16	0.0000e+00	8.4542e-06	0.0000e+00
Ba-139	6.1441e+09	8.5456e+05	1.4172e-12	5.0419e-05
Ba-140	3.1522e+16	1.9830e+10	7.3234e-06	1.1501e+02
La-137	1.1123e+02	4.0719e-11	2.5287e-20	3.5425e-19
La-138	8.4345e+08	1.8163e-10	1.9315e-13	2.7244e-17
La-139	3.4987e+16	0.0000e+00	8.0701e-06	0.0000e+00
La-140	1.7850e+15	8.5312e+09	4.1469e-07	9.3843e+00
La-141	1.3612e+14	6.6859e+09	3.1851e-08	1.0029e+00
La-142	2.2303e+10	2.8283e+06	5.2558e-12	2.5172e-04
Ce-140	5.3107e+14	0.0000e+00	1.2338e-07	0.0000e+00
Ce-141	3.1071e+16	7.6678e+09	7.2700e-06	2.9138e+01
Ce-142	3.1909e+16	0.0000e+00	7.5192e-06	0.0000e+00
Ce-143	1.6810e+16	9.7962e+10	3.9892e-06	8.1309e+01
Ce-144	2.9898e+16	8.4186e+08	7.1448e-06	4.4619e+01
Pr-141	7.0778e+14	0.0000e+00	1.6561e-07	0.0000e+00
Pr-142	8.7035e+04	8.7645e-01	2.0509e-17	4.8205e-10
Pr-143	1.4842e+16	8.7745e+09	3.5221e-06	2.1059e+01
Pr-144	1.2473e+12	8.3386e+08	2.9807e-10	1.5009e-02
Pr-145	5.7532e+14	1.8512e+10	1.3844e-07	3.1470e+00
Nd-142	1.9410e+05	0.0000e+00	4.5739e-17	0.0000e+00
Nd-143	5.4944e+14	0.0000e+00	1.3039e-07	0.0000e+00
Nd-144	9.2899e+13	8.9104e-10	2.2200e-08	8.4649e-17
